Puesto,Equipo,Pase,Precision_pases_pct,Centro,Precision_centros_pct,Intentos_ruptura_lineas,Acierto_ruptura_lineas_pct,Cambios_orientacion_intentados,Acierto_cambios_orientacion_pct
1,España,2191,92,82,22,78,72,21,95
2,Argelia,2070,91,32,16,57,58,19,95
3,Argentina,1966,91,21,33,41,54,13,85
4,Portugal,1899,92,61,25,82,60,25,84
5,Alemania,1887,89,56,27,63,56,11,73
9,Marruecos,1736,89,58,29,59,54,17,82
10,Inglaterra,1696,90,76,28,84,68,16,75
11,Brasil,1680,90,43,33,59,56,11,91
12,Suiza,1663,88,66,14,76,54,21,90
13,Países Bajos,1644,91,69,28,67,64,7,86
14,Bélgica,1643,88,75,28,76,57,14,79
15,Colombia,1629,88,48,29,58,45,32,91
16,EE. UU.,1628,87,58,28,89,63,16,81
17,Senegal,1610,88,63,29,69,58,23,96
18,Ecuador,1565,87,61,31,74,46,6,83
19,Costa de Marfil,1564,88,45,24,57,51,6,100
20,Egipto,1543,87,53,23,72,49,23,96
21,Croacia,1515,88,45,18,61,52,17,76
22,Austria,1467,87,48,21,60,62,5,100
24,Japón,1403,87,50,28,58,52,6,67
26,México,1373,87,32,25,52,37,15,87
27,Noruega,1357,85,37,32,55,45,12,67
28,Canadá,1340,84,117,24,75,61,16,81
30,Sudáfrica,1280,85,31,13,38,34,19,89
32,Suecia,1204,83,51,20,51,55,11,91
34,Bosnia y Herzegovina,1159,81,47,19,44,41,10,80
36,Australia,1127,81,47,28,50,50,16,56
39,RD Congo,1078,81,48,25,51,31,14,79
40,Islas de Cabo Verde,1064,80,32,28,44,34,17,65
44,Ghana,1007,84,33,24,45,51,17,88
48,Paraguay,905,74,21,10,29,31,13,77
