Puesto,Equipo,Velocidad_media_kmh,Esprint_gran_velocidad,Esprints,Distancia_recorrida_m
1,Alemania,6.37,4351,1518,356558.15
3,Bélgica,6.25,4044,1447,344936.19
4,EE. UU.,6.23,4388,1513,358610.48
6,Noruega,6.21,4023,1389,350038.61
8,Australia,6.15,4023,1375,345911.08
9,Egipto,6.14,4068,1515,346823.8
10,México,6.14,3979,1318,338511.84
11,Inglaterra,6.13,3861,1505,340464.41
13,Bosnia y Herzegovina,6.12,3592,1283,336456.49
14,Francia,6.1,3630,1327,337006.23
17,Paraguay,6.09,3907,1361,344337.97
19,España,6.09,3716,1256,342164.48
22,Croacia,6.07,3743,1381,334228.99
24,Marruecos,6.04,3893,1511,341436.77
25,Canadá,6.03,3997,1425,337187.2
26,Japón,6.02,3488,1245,331862.15
28,Suiza,6,4041,1348,334171.2
29,Suecia,5.99,3440,1240,332530.74
30,Austria,5.99,3776,1274,341426.82
31,Brasil,5.98,3727,1314,337977.79
32,Islas de Cabo Verde,5.97,3419,1207,335193.42
34,RD Congo,5.94,3750,1354,333487.34
35,Argelia,5.94,3638,1240,330809.85
37,Sudáfrica,5.89,3714,1359,320890.67
38,Senegal,5.89,3738,1411,339841.4
40,Portugal,5.88,3395,1260,324019.59
41,Costa de Marfil,5.85,3518,1278,329162.16
42,Ghana,5.85,3429,1275,331255.68
43,Países Bajos,5.84,3279,1179,318131.28
44,Ecuador,5.79,3490,1336,321972.91
46,Argentina,5.71,3329,1099,318655.05
48,Colombia,5.63,3289,1146,315670.95
