Puesto,Equipo,Desmarques_para_recibir,Desmarques_espalda_defensa,Desmarques_entre_lineas,Desmarques_delante_defensa,Desmarques_interior_lineas_rivales,Desmarques_exterior_lineas_rivales,Recepciones_espalda_defensa,Recepciones_entre_linea_medios_defensiva,Recepciones_bajo_presion
1,Marruecos,1376,372,498,506,755,621,37,329,687
2,México,1324,321,570,433,699,625,21,295,530
3,República de Corea,1201,267,427,507,657,544,40,273,678
4,España,1179,384,339,456,715,464,49,355,495
5,Brasil,1168,290,486,392,658,510,36,256,522
6,Suiza,1063,337,407,319,629,434,46,317,562
7,Canadá,1044,378,338,328,491,553,52,360,525
8,Escocia,1040,231,400,409,558,482,15,230,430
9,Turquía,1000,324,319,357,522,478,30,284,525
10,Argelia,940,248,398,294,522,418,26,200,508
11,Portugal,929,299,354,276,523,406,37,280,448
12,Uruguay,919,336,284,299,457,462,31,220,412
13,Colombia,914,252,351,311,403,511,19,186,323
14,Sudáfrica,908,256,354,298,470,438,16,207,443
15,Inglaterra,888,217,321,350,473,415,26,173,411
16,Bélgica,870,312,288,270,502,368,26,263,375
17,Japón,852,224,289,339,490,362,21,163,330
18,Haití,834,252,349,233,428,406,13,212,407
19,EE. UU.,818,220,325,273,433,385,37,244,416
20,Ecuador,813,190,350,273,452,361,26,262,391
21,Irak,792,250,323,219,453,339,18,128,292
22,Austria,779,203,317,259,432,347,28,213,447
23,Alemania,773,226,289,258,429,344,29,288,483
24,Argentina,757,164,309,284,397,360,15,177,392
25,Nueva Zelanda,749,180,347,222,392,357,9,210,380
26,Chequia,740,232,305,203,371,369,19,245,439
27,Francia,735,206,221,308,406,329,28,217,339
28,Egipto,708,185,277,246,324,384,22,233,342
29,Senegal,702,220,246,236,417,285,21,192,459
30,Bosnia y Herzegovina,700,192,275,233,372,328,18,204,522
31,Panamá,698,170,289,239,307,391,22,178,364
32,Túnez,682,171,324,187,396,286,13,127,277
33,Noruega,661,137,282,242,351,310,24,190,387
34,Catar,643,169,285,189,347,296,22,146,361
35,Croacia,621,222,194,205,345,276,22,162,307
36,Países Bajos,612,218,193,201,365,247,26,174,276
37,Costa de Marfil,596,156,295,145,297,299,17,193,438
38,Suecia,583,154,234,195,335,248,26,185,329
39,Uzbekistán,571,127,276,168,322,249,10,143,283
40,RI de Irán,525,154,172,199,248,277,21,141,291
41,RD Congo,521,140,245,136,283,238,7,131,263
42,Islas de Cabo Verde,493,110,223,160,255,238,3,100,302
43,Jordania,491,145,213,133,218,273,17,136,312
44,Arabia Saudí,444,115,207,122,257,187,11,159,331
45,Curazao,394,131,173,90,218,176,8,149,361
46,Australia,351,95,157,99,195,156,20,135,307
47,Ghana,320,116,90,114,167,153,21,113,229
48,Paraguay,301,70,140,91,144,157,8,110,238
